timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io
2025-12-01T11:37:50,onnx-int8-api,0.33%,271.8MiB / 7.654GiB,3.47%,16.7MB / 32.9kB,0B / 848kB
2025-12-01T11:37:52,onnx-int8-api,0.21%,271.8MiB / 7.654GiB,3.47%,16.7MB / 32.9kB,0B / 848kB
2025-12-01T11:37:55,onnx-int8-api,0.42%,271.8MiB / 7.654GiB,3.47%,16.7MB / 32.9kB,0B / 848kB
2025-12-01T11:37:58,onnx-int8-api,0.33%,271.8MiB / 7.654GiB,3.47%,16.7MB / 32.9kB,0B / 848kB
2025-12-01T11:38:01,onnx-int8-api,0.33%,271.8MiB / 7.654GiB,3.47%,16.7MB / 32.9kB,0B / 848kB
2025-12-01T11:38:03,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:04,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:05,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:06,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:07,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:08,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:09,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:10,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:11,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:13,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:14,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:15,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:16,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:17,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:18,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:19,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:20,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:21,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:22,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:23,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:24,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:25,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:26,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:27,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:28,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:29,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:30,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:31,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:32,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:33,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:34,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:35,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:37,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:38,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:39,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:40,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:41,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:42,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:43,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:44,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:45,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:46,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:47,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:48,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:49,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:50,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:51,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:52,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:53,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:54,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:55,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:56,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:57,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:38:59,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:00,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:01,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:02,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:03,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:04,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:05,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:06,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:07,onnx-int8-api,NA,NA,NA,NA,NA,NA
