experiment_dir,name,model,batch,requests,rps,latency_mean_ms,p50_ms,p95_ms,p99_ms,cpu_mean_pct
experiments/onnx_int32_run1_gpu,onnx_int32_run1_gpu,int32,1,2000,,40.518628021011864,37.4590805004118,71.68879380024009,95.4312108492013,1.004137931034483
experiments/onnx_int32_batch4_run1_gpu,onnx_int32_batch4_run1_gpu,int32,4,500,,49.47714785802236,46.56983100085199,75.7087406497703,83.44560476080005,0.8193269230769231
experiments/onnx_int32_batch8_run1_gpu,onnx_int32_batch8_run1_gpu,int32,8,250,,59.508049275951635,55.020488500304054,93.81721320050926,130.3364792497814,1.0216129032258063
experiments/onnx_int8_run1_gpu,onnx_int8_run1_gpu,int8,1,2000,,38.688862551468446,35.73101549955027,64.20495474931158,96.26444402139894,2.9894285714285713
experiments/onnx_int8_batch4_run1_gpu,onnx_int8_batch4_run1_gpu,int8,4,500,,43.73794093800825,42.4836479996884,57.555407501240545,80.61930673065942,0.8621839080459771
experiments/onnx_int8_batch8_run1_gpu,onnx_int8_batch8_run1_gpu,int8,8,250,,56.229033743962646,52.5288279986853,90.16854740038977,108.76695529932469,0.49441860465116283
experiments/torch_run1_gpu,torch_run1_gpu,torch,1,2000,,30.10756755401053,27.276202499706415,43.01991910233482,66.5654740982427,4.485500000000001
experiments/torch_batch4_run1_gpu,torch_batch4_run1_gpu,torch,4,500,,40.2221525161076,38.35554199940816,62.23149550041853,79.86692028840478,0.8371980676328502
experiments/torch_batch8_run1_gpu,torch_batch8_run1_gpu,torch,8,250,,57.59244953618327,56.7804590009473,82.16531245070652,96.38621454236271,0.42346938775510207
